CarName,CarYear,CarModel,EngineCapacity(l),HorsePower,CarFuel,CarTransmission,CarDrive,CarOdo(KM),carPrice,carPriceMin,highPrice,goodPrice,defltPrice,removed,minPrice
Mazda CX-5,2017,,2.0,150,бензин,АКПП,4WD,25,2670000,,0,0,0,0,0
Mercedes-Benz B-Class,2013,B 200 BlueEFFICIENCY DCT,B 2,156,бензин,робот,передний,162,1170000,,0,0,1,0,0
Nissan Terrano,2014,,2.0,135,бензин,АКПП,передний,130,1027000,,0,0,1,0,0
Chevrolet Niva,2013,,1.7,80 ,бензин,механика,4WD,240,400000,,0,1,0,0,0
Daewoo Nexia,2008,1.5 SOHC MT HC18,1.5,80 ,бензин,механика,передний,250,175000,,1,0,0,0,0
Лада Гранта,2018,,1.6,98 ,бензин,АКПП,передний,69,720000,,1,0,0,0,0
Лада 4x4 2121 Нива,2019,,1.7,83 ,бензин,механика,4WD,25,720000,,0,0,1,0,0
Honda Civic Ferio,2000,,1.5,105,бензин,АКПП,передний,440,325000,,0,0,0,0,0
Лада Приора,2009,1.6 MT Норма 21723-01-021,1.6,98 ,бензин,механика,передний,251,215000,,0,0,1,0,0
Haval Jolion,2021,1.5 DCT Premium,1.5,143,бензин,робот,передний,20,2050000,,0,0,0,1,0
Opel Astra,2004,2.0 DTI AT Elegance,2.0,100,дизель,АКПП,передний,313,299999,,0,0,0,0,0
Лада 2107,2003,1.6 MT 21074-30-012 Стандарт,1.6,74 ,бензин,механика,задний,120,126000,,1,0,0,0,0
Toyota RAV4,2017,,2.0,146,бензин,вариатор,4WD,126,2250000,,0,0,1,0,0
Москвич 2138,1978,1.4 MT,1.4,50 ,бензин,механика,задний,60,100000,,0,0,0,0,0
Kia Cerato,2006,1.6 MT LX,1.6,105,бензин,механика,передний,297,248000,,0,0,0,0,0
Toyota Land Cruiser Prado,2003,2.7 Prado TX,2.7,150,бензин,АКПП,4WD,124,1870000,,1,0,0,0,0
Kia Optima,2019,2.0 AT Comfort,2.0,150,бензин,АКПП,передний,32,2100000,,0,0,1,0,0
Volkswagen Polo,2013,1.6 MPI MT Trendline,1.6,105,бензин,механика,передний,128,330000,,0,0,0,0,0
Honda Freed,2010,1.5 G aero  (7-Seater),1.5,118,бензин,вариатор,передний,78,1030000,,1,0,0,0,0
Hyundai Accent,2003,1.6 MT GL,1.6,103,бензин,механика,передний,210,228000,,0,0,1,0,0
Kia Rio,2018,1.4 MT Comfort,1.4,100,бензин,механика,передний,86,1020000,,0,0,1,0,0
Лада Нива Тревел,2023,1.7 MT Luxe,1.7,80 ,бензин,механика,4WD,0,1234500,,0,0,0,0,0
Renault Kaptur,2017,2.0 AT 4WD Style,2.0,143,бензин,АКПП,4WD,142,1370000,,0,0,1,0,0
Hyundai Solaris,2014,1.6 MT Classic,1.6,123,бензин,механика,передний,80,850000,,0,0,1,0,0
Hyundai Accent,2005,1.5 MT MT1,1.5,102,бензин,механика,передний,221,320000,,0,0,1,0,0
Toyota Vitz,2018,1.0 F Safety Edition II,1.0,69 ,бензин,вариатор,передний,90,950000,,0,0,1,0,0
Лада 2112,2007,1.6 MT Базовая 5-дв. 21124,1.6,89 ,бензин,механика,"['п', 'е', 'р', 'е', 'д', 'н', 'и', 'й']",передний,260000,,1,0,0,0,0
Skoda Yeti,2012,,1.2,105,бензин,робот,передний,178,820000,,0,0,1,0,0
Kia Optima,2019,2.4 AT С,2.4,ая ,бензин,АКПП,передний,47,2050000,,0,0,1,0,0
Mazda CX-5,2019,2.5 AT Executive,2.5,194,бензин,АКПП,4WD,107,2650000,,0,0,1,0,0
Toyota Corolla Spacio,2003,1.5 X G edition,1.5,109,бензин,АКПП,передний,267,640000,,1,0,0,0,0
Toyota Corolla,2011,1.6 AT Prestige,1.6,124,бензин,АКПП,передний,120,1250000,,1,0,0,0,0
Renault Duster,2018,,1.6,114,бензин,механика,передний,129,1090000,,0,0,1,0,0
Mazda Mazda6,2007,1.8 MT Dynamic,1.8,120,бензин,механика,передний,350,650000,,0,0,1,0,0
Toyota Prius,2019,1.8 S Touring Selection,1.8,98 ,гибрид,вариатор,передний,79,1910000,,0,0,1,0,0
Daihatsu Terios Kid,2009,,0.7,64 ,бензин,АКПП,4WD,91,630000,,1,0,0,0,0
Kia Ceed,2008,,1.6,122,бензин,АКПП,передний,226,650000,,0,0,1,0,0
Honda Fit,2003,1.3 A,1.3,86 ,бензин,вариатор,передний,291,385000,,0,0,1,0,0
Honda Domani,1997,,1.6,120,бензин,АКПП,передний,285,195000,,0,0,0,1,0
Hyundai Sonata,2011,2.0 AT Comfort,2.0,150,бензин,АКПП,передний,152,600000,,0,0,0,0,0
Nissan Bluebird,2000,1.8 Le grand,1.8,125,бензин,АКПП,передний,200,195000,,0,0,0,1,0
Hyundai Solaris,2012,,1.6,123,бензин,механика,передний,212,670000,,0,0,1,0,0
Лада Гранта,2012,,1.6,87 ,бензин,механика,передний,365,269000,,0,0,1,0,0
Mercedes-Benz C-Class,2002,,1.8,143,бензин,механика,задний,150,250000,,0,0,0,0,0
Toyota Cresta,1999,2.0 Roulant,2.0,160,бензин,АКПП,задний,200,450000,,1,0,0,0,0
Chevrolet Cruze,2016,1.4 AT LS,1.4,153,бензин,АКПП,передний,120,1000000,,0,1,0,0,0
Kia Stinger,2021,2.0T-GDI AT 4WD GT Line Suede,2.0,247,бензин,АКПП,4WD,35,3890000,,0,0,1,0,0
Volkswagen Polo,2015,,1.6,105,бензин,механика,передний,"220,белый",600000,,0,1,0,0,0
Kia Sportage,2018, 115 т, 11,,,,[],,2050000,,0,0,1,0,0
Honda Stepwgn,2015,1.5 Spada,1.5,150,бензин,вариатор,передний,142,1600000,,0,0,0,0,0
Chevrolet Cruze,2014,1.8 AT LT,1.8,141,бензин,АКПП,передний,91,800000,,0,0,1,0,0
Opel Vectra,1996,,1.6,100,бензин,механика,передний,451,122000,,0,0,1,0,0
Lifan X50,2018,1.5 CVT Luxury Off-road,1.5,103,бензин,вариатор,передний,19,840000,,0,0,1,0,0
Audi 80,1990,,1.8,90 ,бензин,механика,передний,100,110000,,0,0,1,0,0
Лада 4x4 2121 Нива,2012,1.7 MT,1.7,83 ,бензин,механика,4WD,56,550000,,1,0,0,0,0
Лада Гранта,2018,,1.6,87 ,бензин,механика,передний,26,650000,,0,0,1,0,0
Лада Гранта,2014,1.6 AT Люкс 021,1.6,98 ,бензин,АКПП,передний,237,447000,,0,0,1,0,0
Hyundai Santa Fe,2019,2.4 AT 4WD Family 5 мест,2.4,188,бензин,АКПП,4WD,95,2520000,,0,0,1,0,0
Honda FR-V,2005,2.0 MT Comfort,2.0,150,бензин,механика,передний,348,600000,,0,0,1,0,0
Daewoo Espero,1998,2.0 MT CD,2.0,105,бензин,механика,передний,280,240000,,1,0,0,0,0
Skoda Rapid,2020,,1.6,90 ,бензин,механика,передний,91,1450000,,0,0,0,0,0
Лада Калина,2012,1.6 MT Норма 11173-40-050,1.6,81 ,бензин,механика,передний,119,395000,,1,0,0,0,0
Лада 1111 Ока,2000,0.6 MT 11113,0.6,33 ,бензин,механика,передний,100,400000,,1,0,0,0,0
Hyundai H1,2021,,2.5,170,дизель,АКПП,задний,29,3508000,,0,0,1,0,0
BMW 6-Series,2008,,3.0,285,дизель,автомат,задний,140,1850000,,0,0,0,0,0
Mitsubishi Colt,2003,1.3 Elegance,1.3,90 ,бензин,вариатор,передний,217,295000,,0,0,1,0,0
Mercedes-Benz E-Class,2018,,2.0,184,бензин,АКПП,4WD,154,2849000,,0,0,1,0,0
Mercedes-Benz E-Class,2021,E 200 Sport,E 2,197,бензин,АКПП,задний,59,4499000,,0,1,0,0,0
BMW X6,2021,,3.0,249,дизель,АКПП,4WD,30,9699000,,0,0,1,0,0
MINI Countryman,2019,,2.0,306,бензин,автомат,4WD,21,4199000,,0,0,0,0,0
Lexus RX300,2020,2.0t AT AWD Premium,2.0,238,бензин,АКПП,4WD,61,5250000,,0,0,1,0,0
Volkswagen Polo,2016,,1.6,110,бензин,механика,передний,179,650000,,0,0,0,0,0
Daewoo Matiz,2010,,0.8,51 ,бензин,механика,передний,82,280000,,1,0,0,0,0
Mitsubishi Lancer,2003,1.5 MX touring,1.5,90 ,бензин,вариатор,передний,201,270000,,0,0,1,0,0
Лада 2114 Самара,2009,1.6 MT 21144-20-010,1.6,80 ,бензин,механика,передний,100,93000,,0,0,0,0,0
Toyota Corolla Spacio,2002,,1.5,110,бензин,АКПП,передний,334,520000,,0,0,1,0,0
Nissan Note,2017,1.2 e-POWER X Mode Premier,1.2,79 ,гибрид,АКПП,передний,92,1187000,,1,0,0,0,0
Honda Freed,2010,1.5 flex,1.5,118,бензин,вариатор,передний,98,915000,,0,0,1,0,0
Mercedes-Benz S-Class,2008,S500,S50,388,бензин,АКПП,задний,249,1000000,,0,1,0,0,0
Kia Rio,2020,1.6 AT С,1.6,ая ,бензин,АКПП,передний,18,1525000,,0,0,1,0,0
Лада Приора,2012,,1.6,98 ,бензин,механика,передний,171,440000,,1,0,0,0,0
Volkswagen Polo,2020,,1.6,90 ,бензин,механика,передний,58,1325000,,0,0,1,0,0
Москвич 2141,1994,,1.5,67 ,бензин,механика,передний,200,170000,,1,0,0,0,0
Audi A6,1998,2.4 AT,2.4,165,бензин,АКПП,передний,405,350000,,0,0,1,0,0
Mercedes-Benz R-Class,2006,R 500 4MATIC AT,R 5,306,бензин,АКПП,4WD,77,1500000,,0,0,0,0,0
Hyundai Solaris,2014,1.6 AT Comfort,1.6,123,бензин,АКПП,передний,216,730000,,0,0,0,1,0
BMW 5-Series,2014,,2.0,245,бензин,АКПП,4WD,108,1970000,,0,0,1,0,0
Лада Нива Тревел,2022,,1.7,80 ,бензин,механика,4WD,5,1197000,,0,0,1,0,0
Lexus NX300,2017,,2.0,238,бензин,АКПП,4WD,48,2997000,,0,0,1,0,0
Hyundai Solaris,2012,1.6 MT Active,1.6,123,бензин,механика,передний,113,565000,,0,0,0,0,0
Subaru Forester,2019,,2.5,185,бензин,вариатор,4WD,58,2797000,,0,0,1,0,0
Hyundai Elantra,2018,,2.0,150,бензин,АКПП,передний,60,1440000,,0,0,1,0,0
Nissan Primera,2003,,1.8,125,бензин,автомат,передний,348,355000,,0,0,0,0,0
Skoda Rapid,2020,1.6 MPI AT Ambition,1.6,110,бензин,АКПП,передний,135,1170000,,0,1,0,0,0
BMW X3,2004,xDrive 3.0i AT Dynamic,xDr,231,бензин,АКПП,4WD,400,700000,,0,0,0,0,0
Hyundai Solaris,2018,,1.6,123,бензин,АКПП,передний,97,1350000,,1,0,0,0,0
Mazda Familia,2001,1.5 LS,1.5,110,бензин,АКПП,передний,200,240000,,1,0,0,0,0
Kia Sportage,2016,,2.0,150,бензин,АКПП,передний,202,1470000,,0,0,0,0,0
Honda Fit,2002,1.3 W,1.3,86 ,бензин,вариатор,передний,360,350000,,0,0,1,0,0
Toyota Voxy,2008,2.0 ZS,2.0,158,бензин,вариатор,передний,170,1100000,,0,0,1,0,0
УАЗ Хантер,2009,,2.7,128,бензин,механика,4WD,120,640000,,0,0,0,0,0
Toyota Vitz,2009,1.0 B,1.0,71 ,бензин,вариатор,передний,140,127000,,0,0,0,0,0
Лада 2112,2007,1.6 MT Базовая 3-дв. 21123,1.6,89 ,бензин,механика,передний,242,310000,,1,0,0,0,0
Renault Sandero Stepway,2016,,1.6,82 ,бензин,механика,передний,70,690000,,0,0,0,0,0
Toyota Probox,2007,,1.5,109,бензин,АКПП,передний,230,565000,,1,0,0,0,0
Kia Sportage,2023,2.0 MPI AT 2WD Classic,2.0,150,бензин,АКПП,передний,1,2895000,,0,1,0,0,0
Daihatsu Tanto,2019,660 X SAIII,660,52 ,бензин,вариатор,передний,29,815000,,0,0,0,0,0
УАЗ Буханка,2002,,2.4,бен,,,[],,370000,,0,0,0,0,0
Hyundai Sonata,2020,1.6 T-GDi AT Inspiration,1.6,180,бензин,АКПП,передний,16,2500000,,0,0,1,0,0
Nissan Primera,2004,1.6 MT Elegance,1.6,109,бензин,механика,передний,194,345000,,0,0,1,0,0
Volkswagen Tiguan,2015,1.4 TSI BlueMotion MT Avenue,1.4,122,бензин,механика,передний,82,1400000,,0,0,0,1,0
Mitsubishi Lancer,2011,,1.5,109,бензин,механика,передний,255,680000,,0,0,1,0,0
Daihatsu Terios Kid,2011,660 custom memorial edition 4WD,660,64 ,бензин,АКПП,4WD,107,717000,,1,0,0,0,0
Daihatsu Mira,2009,660 X special,660,58 ,бензин,АКПП,передний,200,279000,,0,0,1,0,0
Citroen C3,2004,1.4i AT SX,1.4,75 ,бензин,АКПП,передний,230,260000,,0,0,1,0,0
Citroen C-Elysee,2013,,1.6,115,бензин,АКПП,передний,214,490000,,0,0,1,0,0
Toyota Land Cruiser Prado,2010,4.0 AT Luxe,4.0,282,бензин,АКПП,4WD,268,2199000,,0,1,0,0,0
Opel Astra,2008,,1.8,140,бензин,механика,передний,"237,белый",420000,,0,0,1,0,0
Toyota Passo,2010,1.0 X,1.0,69 ,бензин,вариатор,передний,152,465000,,0,0,1,0,0
Mitsubishi Mirage,1999,,1.5,90 ,бензин,автомат,передний,220,105000,,0,0,0,1,0
Chevrolet Aveo,2006,,1.4,94 ,бензин,механика,передний,237,297000,,0,0,1,0,0
Daewoo Nexia,2011,1.5 SOHC MT LOW COST,1.5,80 ,бензин,механика,передний,123,210000,,1,0,0,0,0
Ravon Gentra,2015,,1.5,107,бензин,АКПП,передний,163,569000,,0,0,0,0,0
Лада Х-рей,2018,,1.6,106,бензин,механика,передний,77,889000,,0,0,1,0,0
Suzuki Aerio,2004,1.5,1.5,110,бензин,АКПП,передний,240,299999,,0,0,0,0,0
Toyota Voxy,2013,,2.0,155,бензин,вариатор,4WD,140,1470000,,0,0,1,0,0
Renault Megane,2018,,1.5,110,дизель,механика,передний,91,1470000,,0,0,1,0,0
Лада Гранта,2017,,1.6,87 ,бензин,механика,передний,150,570000,,1,0,0,0,0
Лада Веста,2022,,1.6,106,бензин,механика,передний,"51,серый",1480000,,0,0,1,0,0
Лада Нива Тревел,2021,1.7 MT Classic,1.7,80 ,бензин,механика,4WD,15,1115000,,0,0,1,0,0
Toyota Corolla Fielder,2011,1.5 X aero tourer 4WD,1.5,105,бензин,вариатор,4WD,177,950000,,1,0,0,0,0
Kia Cerato,2005,1.6 MT LX,1.6,105,бензин,механика,передний,200,340000,,0,0,1,0,0
Geely Atlas Pro,2022,,1.5,177,бензин,АКПП,передний,20,2195500,,0,1,0,0,0
Volkswagen Tiguan,2012,1.4 TSI MT Trend&Fun,1.4,150,бензин,механика,4WD,182,995500,,0,0,1,0,0
Toyota Camry,2019,,2.5,181,бензин,АКПП,передний,42,2595500,,0,0,1,0,0
Лада 2115 Самара,2007,1.5 MT Базовая,1.5,70 ,бензин,механика,"['п', 'е', 'р', 'е', 'д', 'н', 'и', 'й']",передний,85000,,0,0,0,0,0
Lexus NX200t,2015,,2.0,238,бензин,АКПП,4WD,83,2900000,,0,0,1,0,0
Volkswagen Transporter,1994,,2.4,78 ,дизель,механика,передний,400,250000,,0,0,0,0,0
Лада Нива Легенд,2021,,1.7,83 ,бензин,механика,4WD,4,1700000,,0,0,0,0,0
Nissan Serena,2006,,2.0,129,бензин,вариатор,4WD,195,785000,,0,0,1,0,0
Honda HR-V,2001,1.6 JS,1.6,125,бензин,вариатор,передний,390,400000,,0,0,1,0,0
Lifan Solano,2014,1.6 MT Luxury,1.6,106,бензин,механика,передний,123,430000,,0,0,1,0,0
Лада 2104,1998,,1.5,71 ,бензин,механика,задний,46,250000,,1,0,0,0,0
Volvo S40,2006,,1.8,125,бензин,механика,передний,232,450000,,0,1,0,0,0
Toyota Camry,2018,2.0 AT Станд,2.0, 2.,бензин,АКПП,передний,128,1700000,,0,1,0,0,0
Chery Amulet A15,2007,1.6 MT VI,1.6,94 ,бензин,механика,передний,232,99000,,0,0,0,0,0
Mazda MPV,1997,2.5 Granz G-Four Diesel Turbo 4WD,2.5,125,дизель,АКПП,4WD,450,300000,,0,0,1,0,0
Лада Приора,2008,1.6 MT Норма 21703-01-011,1.6,98 ,бензин,механика,передний,197,247000,,0,0,0,0,0
Volkswagen Vento,1993,,1.6,75 ,бензин,механика,передний,200,150000,,0,0,0,0,0
Toyota Prius,2016,1.8 S,1.8,98 ,гибрид,вариатор,передний,98,1550000,,0,0,1,0,0
Honda CR-X,1991,,2.4,130,бензин,механика,передний,100,600000,,0,0,0,0,0
Mercedes-Benz Citan,2015,109 CDI MT,109,90 ,дизель,механика,передний,150,1040000,,0,0,0,0,0
BMW X6,2011,xDrive 35i AT,xDr,306,бензин,АКПП,4WD,102,1950000,,0,0,1,0,0
Лада Веста Кросс,2019,,1.8,122,бензин,робот,передний,49,1020000,,0,0,1,0,0
Kia Soul,2018,,2.0,150,бензин,АКПП,передний,54,1790000,,0,0,1,0,0
BMW X5,2008,,3.0,272,бензин,АКПП,4WD,230,1180000,,0,0,0,0,0
Ford Focus,2012,,2.0,150,бензин,робот,передний,194,710000,,0,0,1,0,0
Renault Scenic,2011,,1.6,110,бензин,механика,передний,71,780000,,0,0,1,0,0
Toyota Corolla II,1997,1.3 Lime,1.3,85 ,бензин,АКПП,передний,400,200000,,0,0,1,0,0
BMW 3-Series,1994,316i MT,316,102,бензин,механика,"['з', 'а', 'д', 'н', 'и', 'й']",задний,220000,,0,0,1,0,0
Mitsubishi ASX,2021,2.0 CVT 4WD Instyle,2.0,150,бензин,вариатор,4WD,7,2494000,,0,0,1,0,0
Mercedes-Benz Vaneo,2002,,1.7,75 ,дизель,механика,передний,307,400000,,0,0,0,0,0
Audi A6,2020,,2.0,245,гибрид,робот,4WD,10,8500000,,0,0,0,0,0
Лада 2107,2006,1.6 MT 21074-30-012 Стандарт,1.6,74 ,бензин,механика,задний,53,75000,,0,1,0,0,0
Subaru Impreza,2006,,1.5,105,бензин,автомат,передний,200,415000,,0,1,0,0,0
Suzuki Alto,2016,Van 660 VP,Van,49 ,бензин,робот,передний,69,470000,,0,0,1,0,0
Volkswagen Polo,2008,,1.4,80 ,бензин,механика,передний,"216,синий",430000,,0,0,1,0,0
Лада 4x4 2121 Нива,2012,,1.7,83 ,бензин,механика,4WD,103,415000,,1,0,0,0,0
Opel Corsa,2008,,1.2,75 ,дизель,механика,передний,"160,желтый",280000,,0,0,0,0,0
Datsun on-DO,2019,,1.6,87 ,бензин,АКПП,передний,103,550000,,0,0,0,0,0
Daihatsu Mira e:S,2011,660 G,660,52 ,бензин,вариатор,передний,140,425000,,0,0,0,0,0
Lexus GS350,2013,,3.5,317,бензин,АКПП,4WD,198,1850000,,0,1,0,0,0
Honda Civic,2002,,1.5,105,бензин,автомат,передний,300,215000,,0,0,0,0,0
Volkswagen Touareg,2004,,4.9,313,дизель,АКПП,4WD,180,530000,,0,1,0,0,0
Лада 2104,1987,,1.5,71 ,бензин,механика,задний,15,155000,,0,0,0,0,0
BMW X5,2004,,3.0,218,дизель,АКПП,4WD,318,780000,,0,1,0,0,0
Kia Rio,2014,1.6 MT Prestige,1.6,123,бензин,механика,передний,252,575000,,0,0,0,0,0
Nissan AD,2019,1.5 Expert GX,1.5,111,бензин,вариатор,передний,48,900000,,0,0,1,0,0
Audi A6 allroad quattro,2008,3.2 FSI Tiptronic quattro,3.2,255,бензин,АКПП,4WD,161,1370000,,1,0,0,0,0
Ford Focus,2010,1.6 Ti-VCT MT Comfort,1.6,115,бензин,механика,передний,250,550000,,0,0,1,0,0
Opel Astra,2011,,1.4,140,бензин,механика,передний,132,525000,,0,1,0,0,0
Chevrolet Cruze,2014,,1.6,109,бензин,АКПП,передний,494,550000,,0,0,1,0,0
Mazda Mazda3,2004,,1.6,105,бензин,АКПП,передний,172,320000,,0,0,1,0,0
Лада Приора,2009,1.6 MT Люкс 21713-03-39,1.6,98 ,бензин,механика,передний,140,300000,,1,0,0,0,0
Honda Stepwgn,2015,1.5 Spada Cool Spirit Advanced Package Alpha 8 seater,1.5,150,бензин,вариатор,передний,166,1799000,,0,0,1,0,0
Лада 2114 Самара,2007,,1.6,80 ,бензин,механика,передний,242,135000,,0,0,0,0,0
Audi A4,2007,2.0 TFSI Multitronic,2.0,200,бензин,вариатор,передний,100,600000,,0,1,0,0,0
Volvo S60,2007,2.5T AT AWD Kinetic,2.5,210,бензин,АКПП,4WD,290,550000,,0,1,0,0,0
Kia Ceed,2022,1.6 AT Premium,1.6,128,бензин,АКПП,передний,6,2800000,,1,0,0,0,0
Toyota Allex,2003,,1.5,109,бензин,АКПП,передний,370,495000,,0,0,0,0,0
Nissan Primera,2005,1.6 MT Comfort,1.6,109,бензин,механика,передний,290,390000,,0,0,0,0,0
Лада 21099,2001,1.5i MT 210992-21 Норма,1.5,78 ,бензин,механика,передний,178,150000,,0,0,0,0,0
Mitsubishi Outlander,2003,,2.4,142,бензин,АКПП,4WD,198,530000,,0,0,1,0,0
Honda Civic,2001,,1.5,104,бензин,автомат,передний,324,195000,,0,0,0,1,0
Hyundai Getz,2008,1.4 MT GL 5d,1.4,97 ,бензин,механика,передний,400,220000,,0,0,0,1,0
Ford Focus,2011,1.6 MT Comfort,1.6,100,бензин,механика,передний,192,535000,,0,0,1,0,0
Kia Sorento,2018,,2.0,150,дизель,автомат,передний,68,2650000,,0,0,1,0,0
Kia Carnival,2019,,2.2,202,дизель,АКПП,передний,50,3480000,,1,0,0,0,0
Mercedes-Benz C-Class,2011,,1.8,184,бензин,АКПП,задний,178,1390000,,1,0,0,0,0
Daewoo Matiz,2011,,0.8,51 ,бензин,механика,"['п', 'е', 'р', 'е', 'д', 'н', 'и', 'й']",передний,275000,,1,0,0,0,0
Great Wall Peri,2008,,1.3,88 ,бензин,механика,передний,160,339000,,0,0,0,0,0
ГАЗ 24 Волга,1991,2.5 MT ГАЗ-24-10,2.5,100,бензин,механика,"['з', 'а', 'д', 'н', 'и', 'й']",задний,175000,,0,0,1,0,0
Лада 2109,1999,1.5 MT Норма,1.5,70 ,бензин,механика,передний,276,135000,,1,0,0,0,0
Dodge Challenger,2021,6.4 AT R/T Scat Pack,6.4,485,бензин,АКПП,задний,9,5400000,,0,0,0,0,0
Toyota Vitz,2005,1.0 B,1.0,71 ,бензин,вариатор,передний,270,415000,,0,0,1,0,0
Hyundai Creta,2021,2.0 AT 2WD Lifestyle,2.0,149,бензин,АКПП,передний,1,2620000,,0,0,1,0,0
Kia Forte,2019,,2.0,150,бензин,автомат,передний,58,1630000,,0,0,0,0,0
Лада 21099,2000,,1.5,70 ,бензин,механика,"['п', 'е', 'р', 'е', 'д', 'н', 'и', 'й']",передний,90000,,0,0,0,0,0
Mazda Premacy,2001,2.0 Sport 5-Seater,2.0,165,бензин,АКПП,передний,200,380000,,1,0,0,0,0
Kia Rio,2014,1.4 MT Comfort,1.4,107,бензин,механика,передний,190,628000,,0,1,0,0,0
Nissan X-Trail,2015,,2.5,171,бензин,вариатор,4WD,80,1749500,,0,0,1,0,0
Hyundai Grand Starex,2008,,2.5,145,дизель,автомат,задний,"238,серый",1000000,,0,0,0,0,0
Mitsubishi Pajero Mini,2008,660 exceed 4WD,660,64 ,бензин,АКПП,4WD,86,610000,,1,0,0,0,0
Mitsubishi Pajero,2000,3.2DT exceed II long MMCS-less,3.2,175,дизель,АКПП,4WD,280,850000,,1,0,0,0,0
Skoda Octavia,2014,,1.2,105,бензин,робот,передний,147,849500,,0,0,0,0,0
Toyota Vitz,2019,,1.0,69 ,бензин,вариатор,передний,65,925000,,0,0,1,0,0
Peugeot 3008,2014,,1.6,150,бензин,АКПП,передний,100,995500,,0,0,1,0,0
Hyundai Solaris,2016,1.6 AT Super Series 4,1.6,123,бензин,АКПП,передний,145,985000,,0,0,1,0,0
Лада Нива Тревел,2021,,1.7,80 ,бензин,механика,4WD,62,995500,,0,0,1,0,0
Nissan Tiida,2013,,1.6,110,бензин,механика,"['п', 'е', 'р', 'е', 'д', 'н', 'и', 'й']",передний,710000,,0,0,0,0,0
Renault Kaptur,2017,,1.6,114,бензин,вариатор,передний,123,540000,,0,0,0,1,0
Hyundai Santa Fe,2019,,2.4,188,бензин,АКПП,4WD,13,2995500,,0,0,1,0,0
Chevrolet Captiva,2012,,2.2,184,дизель,АКПП,4WD,156,1099500,,0,0,1,0,0
Skoda Rapid,2017,,1.4,125,бензин,робот,передний,168,1049500,,0,0,1,0,0
Nissan Almera,2005,,1.5,98 ,бензин,механика,"['п', 'е', 'р', 'е', 'д', 'н', 'и', 'й']",передний,410000,,1,0,0,0,0
Daihatsu Storia,2000,1.0 CL S package,1.0,60 ,бензин,механика,передний,277,135000,,0,0,0,0,0
BMW 3-Series,2003,320i АT,320,170,бензин,АКПП,задний,302,620000,,0,0,1,0,0
Toyota Platz,2000,1.0 F,1.0,70 ,бензин,АКПП,передний,306,290000,,0,0,0,1,0
Toyota RAV4,2012,2.0 CVT Комфорт,2.0,148,бензин,вариатор,4WD,208,1380000,,0,0,1,0,0
Toyota Corolla,2018,Sport 1.2 G X,Spo,116,бензин,вариатор,передний,15,1610000,,0,0,1,0,0
Toyota Harrier,2008,2.4 240G L package alcantara  prime version 4WD,2.4,160,бензин,АКПП,4WD,128,1320000,,0,0,1,0,0
Honda Freed,2012,1.5 Just Selection (6-Seater),1.5,88 ,гибрид,вариатор,передний,113,1100000,,1,0,0,0,0
Opel Astra,2012,,1.8,140,бензин,автомат,передний,230,650000,,0,0,0,0,0
Audi Q7,2010,3.0 TDI quattro tiptronic Premium,3.0,225,дизель,АКПП,4WD,263,1505000,,0,0,1,0,0
Honda Civic,2009,,1.8,140,бензин,механика,передний,128,840000,,1,0,0,0,0
Hyundai Accent,2005,,1.5,102,бензин,механика,"['п', 'е', 'р', 'е', 'д', 'н', 'и', 'й']",передний,280000,,0,0,1,0,0
Chevrolet Aveo,2010,,1.4,101,бензин,механика,"['п', 'е', 'р', 'е', 'д', 'н', 'и', 'й']",передний,440000,,0,0,0,0,0
Hyundai Solaris,2011,,1.6,123,бензин,механика,"['п', 'е', 'р', 'е', 'д', 'н', 'и', 'й']",передний,645000,,0,0,1,0,0
Лада 4x4 2121 Нива,2013,,1.7,83 ,бензин,механика,4WD,41,500000,,0,0,1,0,0
Лада 2111,2006,,1.6,82 ,бензин,механика,передний,250,185000,,1,0,0,0,0
Лада 2104,2007,1.6 MT 21041,1.6,74 ,бензин,механика,"['з', 'а', 'д', 'н', 'и', 'й']",задний,235000,,1,0,0,0,0
Лада 2107,2011,,1.6,72 ,бензин,механика,"['з', 'а', 'д', 'н', 'и', 'й']",задний,200000,,1,0,0,0,0
Kia Carnival,2019,2.2 CRDi AT High Nobless Special 9 seats,2.2,202,дизель,АКПП,передний,61,2880000,,0,0,1,0,0
Богдан 2111,2011,1.6i MT 21112,1.6,80 ,бензин,механика,передний,97,285000,,0,0,0,0,0
Hyundai Tucson,2020,2.4 AT 4WD High-Tech plus,2.4,184,бензин,АКПП,4WD,21,2420000,,0,0,1,0,0
BMW 3-Series,2008,,2.0,156,бензин,АКПП,задний,225,730000,,0,1,0,0,0
Volkswagen Passat,2010,,1.8,152,бензин,робот,передний,254,660000,,0,0,0,0,0
Toyota Camry,2019,2.5 AT Престиж Safety,2.5,181,бензин,АКПП,передний,147,2450000,,0,0,1,0,0
Chery Tiggo 4,2021,1.5 CVT Travel,1.5,113,бензин,вариатор,передний,21,1760000,,0,0,1,0,0
Toyota Wish,2012,1.8 S,1.8,143,бензин,вариатор,передний,85,1260000,,0,0,1,0,0
Hyundai Solaris,2020,,1.6,123,бензин,АКПП,передний,68,1420000,,0,0,1,0,0
Kia Soul,2018,,1.6,124,бензин,АКПП,передний,80,1420000,,0,0,1,0,0
Mercedes-Benz C-Class,2012,,1.6,156,бензин,АКПП,задний,180,1150000,,0,0,1,0,0
